GVKey,Company Name,Year,Data Date,Status
1722,ARCHER-DANIELS-MIDLAND CO,2012,2012-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2013,2013-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2014,2014-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2015,2015-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2016,2016-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2017,2017-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2018,2018-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2019,2019-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2020,2020-12-31,NA
1722,ARCHER-DANIELS-MIDLAND CO,2021,2021-12-31,NA
1773,ARROW ELECTRONICS INC,1996,1996-12-31,N
1848,ATLANTIC RICHFIELD CO,1999,1999-12-31,N
1913,AVERY DENNISON CORP,1996,1996-12-31,N
1913,AVERY DENNISON CORP,2009,2009-12-31,N
1913,AVERY DENNISON CORP,2014,2014-12-31,N
1913,AVERY DENNISON CORP,2020,2020-12-31,N
1919,AVNET INC,2021,2021-06-30,N
1953,CERPLEX GROUP INC,1996,1996-09-30,N
1953,CERPLEX GROUP INC,1997,1997-09-30,N
1953,CERPLEX GROUP INC,1999,1999-09-30,N
1968,BADGER METER INC,1996,1996-12-31,N
1969,BADGER PAPER MILLS INC,1996,1996-12-31,N
1971,BAIRNCO CORP,1996,1996-12-31,N
1976,BAKER HUGHES INC,1997,1997-09-30,N
1976,BAKER HUGHES INC,2000,2000-12-31,N
1976,BAKER HUGHES INC,2003,2003-12-31,N
1976,BAKER HUGHES INC,2004,2004-12-31,N
1976,BAKER HUGHES INC,2005,2005-12-31,N
1976,BAKER HUGHES INC,2006,2006-12-31,N
1976,BAKER HUGHES INC,2007,2007-12-31,N
1976,BAKER HUGHES INC,2008,2008-12-31,N
1976,BAKER HUGHES INC,2009,2009-12-31,N
1976,BAKER HUGHES INC,2010,2010-12-31,N
1976,BAKER HUGHES INC,2011,2011-12-31,N
1976,BAKER HUGHES INC,2012,2012-12-31,N
1976,BAKER HUGHES INC,2013,2013-12-31,N
1976,BAKER HUGHES INC,2014,2014-12-31,N
1976,BAKER HUGHES INC,2015,2015-12-31,N
1976,BAKER HUGHES INC,2016,2016-12-31,N
1988,BALL CORP,1996,1996-12-31,N
2008,BANDAG INC,1996,1996-12-31,N
2033,FAIRCHILD CORP  -CL A,1996,1996-06-30,NA
2033,FAIRCHILD CORP  -CL A,1997,1997-06-30,NA
2033,FAIRCHILD CORP  -CL A,1998,1998-06-30,NA
2033,FAIRCHILD CORP  -CL A,1999,1999-06-30,NA
2033,FAIRCHILD CORP  -CL A,2000,2000-06-30,NA
2033,FAIRCHILD CORP  -CL A,2001,2001-06-30,NA
2033,FAIRCHILD CORP  -CL A,2002,2002-06-30,NA
2033,FAIRCHILD CORP  -CL A,2003,2003-06-30,NA
2033,FAIRCHILD CORP  -CL A,2004,2004-09-30,NA
2033,FAIRCHILD CORP  -CL A,2005,2005-09-30,NA
2033,FAIRCHILD CORP  -CL A,2006,2006-09-30,NA
2033,FAIRCHILD CORP  -CL A,2007,2007-09-30,NA
2034,BANTA CORP,1996,1996-12-31,N
2034,BANTA CORP,1997,1997-12-31,N
2034,BANTA CORP,1998,1998-12-31,N
2034,BANTA CORP,1999,1999-12-31,N
2034,BANTA CORP,2000,2000-12-31,N
2034,BANTA CORP,2003,2003-12-31,N
2034,BANTA CORP,2004,2004-12-31,N
2034,BANTA CORP,2005,2005-12-31,N
2044,BARD (C.R.) INC,1996,1996-12-31,N
2044,BARD (C.R.) INC,1997,1997-12-31,N
2044,BARD (C.R.) INC,1998,1998-12-31,N
2044,BARD (C.R.) INC,1999,1999-12-31,N
2044,BARD (C.R.) INC,2000,2000-12-31,N
2044,BARD (C.R.) INC,2001,2001-12-31,N
2044,BARD (C.R.) INC,2002,2002-12-31,N
2044,BARD (C.R.) INC,2003,2003-12-31,N
2044,BARD (C.R.) INC,2004,2004-12-31,N
2044,BARD (C.R.) INC,2005,2005-12-31,N
2044,BARD (C.R.) INC,2006,2006-12-31,N
2044,BARD (C.R.) INC,2007,2007-12-31,N
2044,BARD (C.R.) INC,2008,2008-12-31,N
2044,BARD (C.R.) INC,2010,2010-12-31,N
2044,BARD (C.R.) INC,2011,2011-12-31,N
2044,BARD (C.R.) INC,2012,2012-12-31,N
2044,BARD (C.R.) INC,2013,2013-12-31,N
2044,BARD (C.R.) INC,2014,2014-12-31,N
2044,BARD (C.R.) INC,2015,2015-12-31,N
2044,BARD (C.R.) INC,2016,2016-12-31,N
2080,BASSETT FURNITURE INDS,1996,1996-11-30,NA
2080,BASSETT FURNITURE INDS,1997,1997-11-30,NA
2080,BASSETT FURNITURE INDS,1998,1998-11-30,NA
2080,BASSETT FURNITURE INDS,1999,1999-11-30,NA
2080,BASSETT FURNITURE INDS,2000,2000-11-30,NA
2080,BASSETT FURNITURE INDS,2001,2001-11-30,NA
2080,BASSETT FURNITURE INDS,2002,2002-11-30,NA
2080,BASSETT FURNITURE INDS,2003,2003-11-30,NA
2080,BASSETT FURNITURE INDS,2004,2004-11-30,NA
2080,BASSETT FURNITURE INDS,2005,2005-11-30,NA
2080,BASSETT FURNITURE INDS,2006,2006-11-30,NA
2080,BASSETT FURNITURE INDS,2007,2007-11-30,NA
2080,BASSETT FURNITURE INDS,2008,2008-11-30,NA
2080,BASSETT FURNITURE INDS,2009,2009-11-30,NA
2080,BASSETT FURNITURE INDS,2010,2010-11-30,NA
2080,BASSETT FURNITURE INDS,2011,2011-11-30,NA
2080,BASSETT FURNITURE INDS,2012,2012-11-30,NA
2080,BASSETT FURNITURE INDS,2013,2013-11-30,NA
2080,BASSETT FURNITURE INDS,2014,2014-11-30,NA
2080,BASSETT FURNITURE INDS,2015,2015-11-30,NA
2080,BASSETT FURNITURE INDS,2016,2016-11-30,NA
2080,BASSETT FURNITURE INDS,2017,2017-11-30,NA
2080,BASSETT FURNITURE INDS,2018,2018-11-30,NA
2080,BASSETT FURNITURE INDS,2019,2019-11-30,NA
2080,BASSETT FURNITURE INDS,2020,2020-11-30,NA
2080,BASSETT FURNITURE INDS,2021,2021-11-30,NA
2085,BAUSCH & LOMB HLDGS  -REDH,1996,1996-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,1997,1997-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,1998,1998-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,1999,1999-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2000,2000-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2001,2001-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2002,2002-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2003,2003-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2004,2004-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2005,2005-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2006,2006-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2007,2007-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2008,2008-12-31,NA
2085,BAUSCH & LOMB HLDGS  -REDH,2009,2009-12-31,NA
2146,BELLSOUTH CORP,1996,1996-12-31,N
2169,BERGEN BRUNSWIG CORP  -CL A,1996,1996-09-30,NA
2169,BERGEN BRUNSWIG CORP  -CL A,1997,1997-09-30,NA
2169,BERGEN BRUNSWIG CORP  -CL A,1998,1998-09-30,NA
2169,BERGEN BRUNSWIG CORP  -CL A,1999,1999-09-30,NA
2169,BERGEN BRUNSWIG CORP  -CL A,2000,2000-09-30,NA
2184,BEST BUY CO INC,1997,1998-02-28,N
2184,BEST BUY CO INC,2006,2007-02-28,N
2184,BEST BUY CO INC,2007,2008-02-29,N
2184,BEST BUY CO INC,2008,2009-02-28,N
2184,BEST BUY CO INC,2009,2010-02-28,N
2184,BEST BUY CO INC,2010,2011-02-28,N
2184,BEST BUY CO INC,2011,2012-02-29,N
2184,BEST BUY CO INC,2012,2013-01-31,N
2184,BEST BUY CO INC,2013,2014-01-31,N
2184,BEST BUY CO INC,2014,2015-01-31,N
2184,BEST BUY CO INC,2015,2016-01-31,N
2184,BEST BUY CO INC,2016,2017-01-31,N
2184,BEST BUY CO INC,2017,2018-01-31,N
2184,BEST BUY CO INC,2018,2019-01-31,N
2184,BEST BUY CO INC,2019,2020-01-31,N
2184,BEST BUY CO INC,2020,2021-01-31,N
2184,BEST BUY CO INC,2021,2022-01-31,N
2189,BETHLEHEM STEEL CORP,2002,2002-12-31,N
2213,BINDLEY WESTERN INDS,1996,1996-12-31,NA
2213,BINDLEY WESTERN INDS,1997,1997-12-31,NA
2213,BINDLEY WESTERN INDS,1998,1998-12-31,NA
2213,BINDLEY WESTERN INDS,1999,1999-12-31,NA
2239,BIRD CORP,1996,1996-12-31,N
2239,BIRD CORP,1997,1997-12-31,N
2267,BLOCK DRUG  -CL A,1996,1997-03-31,NA
2267,BLOCK DRUG  -CL A,1997,1998-03-31,NA
2267,BLOCK DRUG  -CL A,1998,1999-03-31,NA
2267,BLOCK DRUG  -CL A,1999,2000-03-31,NA
2271,BLOUNT INTL INC,1996,1996-12-31,NA
2271,BLOUNT INTL INC,1997,1997-12-31,NA
2271,BLOUNT INTL INC,1998,1998-12-31,NA
2271,BLOUNT INTL INC,1999,1999-12-31,NA
2271,BLOUNT INTL INC,2000,2000-12-31,NA
2271,BLOUNT INTL INC,2001,2001-12-31,NA
2271,BLOUNT INTL INC,2002,2002-12-31,NA
2271,BLOUNT INTL INC,2003,2003-12-31,NA
2271,BLOUNT INTL INC,2004,2004-12-31,NA
2271,BLOUNT INTL INC,2005,2005-12-31,NA
2271,BLOUNT INTL INC,2006,2006-12-31,NA
2271,BLOUNT INTL INC,2007,2007-12-31,NA
2271,BLOUNT INTL INC,2008,2008-12-31,NA
2271,BLOUNT INTL INC,2009,2009-12-31,NA
2271,BLOUNT INTL INC,2010,2010-12-31,NA
2271,BLOUNT INTL INC,2011,2011-12-31,NA
2271,BLOUNT INTL INC,2012,2012-12-31,NA
2271,BLOUNT INTL INC,2013,2013-12-31,NA
2271,BLOUNT INTL INC,2014,2014-12-31,NA
2271,BLOUNT INTL INC,2015,2015-12-31,NA
2312,ROBERT HALF INTL INC,1996,1996-12-31,NA
2312,ROBERT HALF INTL INC,1997,1997-12-31,NA
2312,ROBERT HALF INTL INC,1998,1998-12-31,NA
2312,ROBERT HALF INTL INC,1999,1999-12-31,NA
2312,ROBERT HALF INTL INC,2000,2000-12-31,NA
2312,ROBERT HALF INTL INC,2001,2001-12-31,NA
2312,ROBERT HALF INTL INC,2002,2002-12-31,NA
2312,ROBERT HALF INTL INC,2003,2003-12-31,NA
2312,ROBERT HALF INTL INC,2004,2004-12-31,NA
2312,ROBERT HALF INTL INC,2005,2005-12-31,NA
2312,ROBERT HALF INTL INC,2006,2006-12-31,NA
2312,ROBERT HALF INTL INC,2007,2007-12-31,NA
2312,ROBERT HALF INTL INC,2008,2008-12-31,NA
2312,ROBERT HALF INTL INC,2009,2009-12-31,NA
2312,ROBERT HALF INTL INC,2010,2010-12-31,NA
2312,ROBERT HALF INTL INC,2011,2011-12-31,NA
2312,ROBERT HALF INTL INC,2012,2012-12-31,NA
2312,ROBERT HALF INTL INC,2013,2013-12-31,NA
2312,ROBERT HALF INTL INC,2014,2014-12-31,NA
2312,ROBERT HALF INTL INC,2015,2015-12-31,NA
2312,ROBERT HALF INTL INC,2016,2016-12-31,NA
2312,ROBERT HALF INTL INC,2017,2017-12-31,NA
2312,ROBERT HALF INTL INC,2018,2018-12-31,NA
2312,ROBERT HALF INTL INC,2019,2019-12-31,NA
2312,ROBERT HALF INTL INC,2020,2020-12-31,NA
2312,ROBERT HALF INTL INC,2021,2021-12-31,NA
2316,HEXION INC,1996,1996-12-31,N
2316,HEXION INC,1997,1997-12-31,N
2316,HEXION INC,1998,1998-12-31,N
2316,HEXION INC,1999,1999-12-31,N
2316,HEXION INC,2000,2000-12-31,N
2316,HEXION INC,2001,2001-12-31,N
2393,BRIGGS & STRATTON,1997,1997-06-30,N
2403,BRISTOL-MYERS SQUIBB CO,2006,2006-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2008,2008-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2009,2009-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2010,2010-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2011,2011-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2012,2012-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2013,2013-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2014,2014-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2015,2015-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2016,2016-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2017,2017-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2018,2018-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2019,2019-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2020,2020-12-31,N
2403,BRISTOL-MYERS SQUIBB CO,2021,2021-12-31,N
2443,BRUNOS INC,1996,1997-01-31,NA
2443,BRUNOS INC,1997,1998-01-31,NA
2443,BRUNOS INC,1998,1999-01-31,NA
2444,BRUNSWICK CORP,2020,2020-12-31,N
2497,MASTEC INC,1996,1996-12-31,N
2518,BUTLER MFG CO,1996,1996-12-31,NA
2518,BUTLER MFG CO,1997,1997-12-31,NA
2518,BUTLER MFG CO,1998,1998-12-31,NA
2518,BUTLER MFG CO,1999,1999-12-31,NA
2518,BUTLER MFG CO,2000,2000-12-31,NA
2518,BUTLER MFG CO,2001,2001-12-31,NA
2518,BUTLER MFG CO,2002,2002-12-31,NA
2518,BUTLER MFG CO,2003,2003-12-31,NA
2597,CADBURY PLC,2003,2003-12-31,N
2710,CONSTELLATION BRANDS,1996,1997-02-28,N
2771,CARLISLE COS INC,1996,1996-12-31,NA
2771,CARLISLE COS INC,1997,1997-12-31,NA
2771,CARLISLE COS INC,1998,1998-12-31,NA
2771,CARLISLE COS INC,1999,1999-12-31,NA
2771,CARLISLE COS INC,2000,2000-12-31,NA
2771,CARLISLE COS INC,2001,2001-12-31,NA
2771,CARLISLE COS INC,2002,2002-12-31,NA
2771,CARLISLE COS INC,2003,2003-12-31,NA
2771,CARLISLE COS INC,2004,2004-12-31,NA
2771,CARLISLE COS INC,2005,2005-12-31,NA
2771,CARLISLE COS INC,2006,2006-12-31,NA
2771,CARLISLE COS INC,2007,2007-12-31,NA
2771,CARLISLE COS INC,2008,2008-12-31,NA
2771,CARLISLE COS INC,2009,2009-12-31,NA
2771,CARLISLE COS INC,2010,2010-12-31,NA
2771,CARLISLE COS INC,2011,2011-12-31,NA
2771,CARLISLE COS INC,2012,2012-12-31,NA
2771,CARLISLE COS INC,2013,2013-12-31,NA
2771,CARLISLE COS INC,2014,2014-12-31,NA
2771,CARLISLE COS INC,2015,2015-12-31,NA
2771,CARLISLE COS INC,2016,2016-12-31,NA
2771,CARLISLE COS INC,2017,2017-12-31,NA
2771,CARLISLE COS INC,2018,2018-12-31,NA
2771,CARLISLE COS INC,2019,2019-12-31,NA
2771,CARLISLE COS INC,2020,2020-12-31,NA
2771,CARLISLE COS INC,2021,2021-12-31,NA
2787,CARPENTER TECHNOLOGY CORP,1996,1996-06-30,N
2797,CARTER-WALLACE INC,1996,1997-03-31,N
2807,CASEYS GENERAL STORES INC,1996,1997-04-30,NA
2807,CASEYS GENERAL STORES INC,1997,1998-04-30,NA
2807,CASEYS GENERAL STORES INC,1998,1999-04-30,NA
2807,CASEYS GENERAL STORES INC,1999,2000-04-30,NA
2807,CASEYS GENERAL STORES INC,2000,2001-04-30,NA
2807,CASEYS GENERAL STORES INC,2001,2002-04-30,NA
2807,CASEYS GENERAL STORES INC,2002,2003-04-30,NA
2807,CASEYS GENERAL STORES INC,2003,2004-04-30,NA
2807,CASEYS GENERAL STORES INC,2004,2005-04-30,NA
2807,CASEYS GENERAL STORES INC,2005,2006-04-30,NA
2807,CASEYS GENERAL STORES INC,2006,2007-04-30,NA
2807,CASEYS GENERAL STORES INC,2007,2008-04-30,NA
2807,CASEYS GENERAL STORES INC,2008,2009-04-30,NA
2807,CASEYS GENERAL STORES INC,2009,2010-04-30,NA
2807,CASEYS GENERAL STORES INC,2010,2011-04-30,NA
2807,CASEYS GENERAL STORES INC,2011,2012-04-30,NA
2807,CASEYS GENERAL STORES INC,2012,2013-04-30,NA
2807,CASEYS GENERAL STORES INC,2013,2014-04-30,NA
2807,CASEYS GENERAL STORES INC,2014,2015-04-30,NA
2807,CASEYS GENERAL STORES INC,2015,2016-04-30,NA
2807,CASEYS GENERAL STORES INC,2016,2017-04-30,NA
2807,CASEYS GENERAL STORES INC,2017,2018-04-30,NA
2807,CASEYS GENERAL STORES INC,2018,2019-04-30,NA
2807,CASEYS GENERAL STORES INC,2019,2020-04-30,NA
2807,CASEYS GENERAL STORES INC,2020,2021-04-30,NA
2807,CASEYS GENERAL STORES INC,2021,2022-04-30,NA
2812,DOLE FOOD CO INC,1998,1998-12-31,N
2812,DOLE FOOD CO INC,2002,2002-12-31,N
2872,EKCO GROUP INC,1998,1998-12-31,N
2884,LUMEN TECHNOLOGIES INC,1999,1999-12-31,N
2916,CHAMPION ENTERPRISES INC,1997,1997-12-31,N
2916,CHAMPION ENTERPRISES INC,2008,2008-12-31,N
2960,CHEMED CORP,2003,2003-12-31,N
2982,CHESAPEAKE CORP,1996,1996-12-31,N
2991,CHEVRON CORP,2001,2001-12-31,N
2991,CHEVRON CORP,2002,2002-12-31,N
2991,CHEVRON CORP,2003,2003-12-31,N
2991,CHEVRON CORP,2004,2004-12-31,N
2991,CHEVRON CORP,2006,2006-12-31,N
2991,CHEVRON CORP,2007,2007-12-31,N
2991,CHEVRON CORP,2008,2008-12-31,N
2991,CHEVRON CORP,2009,2009-12-31,N
2991,CHEVRON CORP,2010,2010-12-31,N
2991,CHEVRON CORP,2011,2011-12-31,N
2991,CHEVRON CORP,2012,2012-12-31,N
2991,CHEVRON CORP,2013,2013-12-31,N
2991,CHEVRON CORP,2014,2014-12-31,N
2991,CHEVRON CORP,2015,2015-12-31,N
2991,CHEVRON CORP,2016,2016-12-31,N
2991,CHEVRON CORP,2017,2017-12-31,N
2991,CHEVRON CORP,2018,2018-12-31,N
2991,CHEVRON CORP,2019,2019-12-31,N
2991,CHEVRON CORP,2020,2020-12-31,N
2991,CHEVRON CORP,2021,2021-12-31,N
3007,BRINKER INTL INC,1996,1996-06-30,NA
3007,BRINKER INTL INC,1997,1997-06-30,NA
3007,BRINKER INTL INC,1998,1998-06-30,NA
3007,BRINKER INTL INC,1999,1999-06-30,NA
3007,BRINKER INTL INC,2000,2000-06-30,NA
3007,BRINKER INTL INC,2001,2001-06-30,NA
3007,BRINKER INTL INC,2002,2002-06-30,NA
3007,BRINKER INTL INC,2003,2003-06-30,NA
3007,BRINKER INTL INC,2004,2004-06-30,NA
3007,BRINKER INTL INC,2005,2005-06-30,NA
3007,BRINKER INTL INC,2006,2006-06-30,NA
3007,BRINKER INTL INC,2007,2007-06-30,NA
3007,BRINKER INTL INC,2008,2008-06-30,NA
3007,BRINKER INTL INC,2009,2009-06-30,NA
3007,BRINKER INTL INC,2010,2010-06-30,NA
3007,BRINKER INTL INC,2011,2011-06-30,NA
3007,BRINKER INTL INC,2012,2012-06-30,NA
3007,BRINKER INTL INC,2013,2013-06-30,NA
3007,BRINKER INTL INC,2014,2014-06-30,NA
3007,BRINKER INTL INC,2015,2015-06-30,NA
3007,BRINKER INTL INC,2016,2016-06-30,NA
3007,BRINKER INTL INC,2017,2017-06-30,NA
3007,BRINKER INTL INC,2018,2018-06-30,NA
3007,BRINKER INTL INC,2019,2019-06-30,NA
3007,BRINKER INTL INC,2020,2020-06-30,NA
3007,BRINKER INTL INC,2021,2021-06-30,NA
3015,CHRIS-CRAFT INDS,1996,1996-12-31,NA
3015,CHRIS-CRAFT INDS,1997,1997-12-31,NA
3015,CHRIS-CRAFT INDS,1998,1998-12-31,NA
3015,CHRIS-CRAFT INDS,1999,1999-12-31,NA
3015,CHRIS-CRAFT INDS,2000,2000-12-31,NA
3062,CINTAS CORP,1997,1998-05-31,NA
3062,CINTAS CORP,1998,1999-05-31,NA
3062,CINTAS CORP,1999,2000-05-31,NA
3062,CINTAS CORP,2000,2001-05-31,NA
3062,CINTAS CORP,2001,2002-05-31,NA
3062,CINTAS CORP,2002,2003-05-31,NA
3062,CINTAS CORP,2003,2004-05-31,NA
3062,CINTAS CORP,2004,2005-05-31,NA
3062,CINTAS CORP,2005,2006-05-31,NA
3062,CINTAS CORP,2006,2007-05-31,NA
3062,CINTAS CORP,2007,2008-05-31,NA
3062,CINTAS CORP,2008,2009-05-31,NA
3062,CINTAS CORP,2009,2010-05-31,NA
3062,CINTAS CORP,2010,2011-05-31,NA
3062,CINTAS CORP,2011,2012-05-31,NA
3062,CINTAS CORP,2012,2013-05-31,NA
3062,CINTAS CORP,2013,2014-05-31,NA
3062,CINTAS CORP,2014,2015-05-31,NA
3062,CINTAS CORP,2015,2016-05-31,NA
3062,CINTAS CORP,2016,2017-05-31,NA
3062,CINTAS CORP,2017,2018-05-31,NA
3062,CINTAS CORP,2018,2019-05-31,NA
3062,CINTAS CORP,2019,2020-05-31,NA
3062,CINTAS CORP,2020,2021-05-31,NA
3062,CINTAS CORP,2021,2022-05-31,NA
3105,IHEARTMEDIA INC,1996,1996-12-31,N
3105,IHEARTMEDIA INC,1997,1997-12-31,N
3105,IHEARTMEDIA INC,1998,1998-12-31,N
3105,IHEARTMEDIA INC,1999,1999-12-31,N
