Global Company Key,Company Name,Row Number,Page Number,Filing Date,Doctype
1078,Abbott Laboratories (India) Ltd,8,6,03/30/1999,Annual Report
1078,Abbott Laboratories,9,6,12/30/1998,Annual Report
1078,ABBOTT LABORATORIES *,10,6,12/30/1998,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,1,7,11/29/1998,Annual Report
1078,Abbott Laboratories,2,7,12/30/1997,Annual Report
1078,Abbott Laboratories,3,7,12/30/1997,Annual Report
1078,ABBOTT LABORATORIES *,4,7,12/30/1997,Annual Report
1078,Abbott Laboratories (India) Ltd,5,7,03/30/1997,Annual Report
1078,Abbott Laboratories,6,7,12/30/1996,Annual Report
1078,ABBOTT LABORATORIES *,7,7,12/30/1996,Annual Report
1078,Abbott Laboratories,8,7,12/30/1996,Annual Report
1078,ABBOTT LABORATORIES *,9,7,12/30/1995,Annual Report
1078,Abbott Laboratories,10,7,12/30/1995,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,1,8,11/29/1995,Annual Report
1078,ABBOTT LABORATORIES LTD,2,8,12/30/1994,Annual Report
1078,Abbott Laboratories,3,8,12/30/1994,Annual Report
1078,Abbott Laboratories,4,8,12/30/1994,Annual Report
1078,ABBOTT LABORATORIES LTD,5,8,12/30/1993,Annual Report
1078,Abbott Laboratories,6,8,12/30/1993,Annual Report
1078,ABBOTT LABORATORIES LTD,7,8,12/30/1992,Annual Report
1078,Abbott Laboratories,8,8,12/30/1992,Annual Report
1078,ABBOTT LABORATORIES LTD,9,8,12/30/1991,Annual Report
1078,Abbott Laboratories,10,8,12/30/1991,Annual Report
1078,Abbott Laboratories,1,9,12/30/1991,Annual Report
1078,ABBOTT LABORATORIES LTD,2,9,12/30/1990,Annual Report
1078,Abbott Laboratories *,3,9,12/30/1990,Annual Report
1078,ABBOTT LABORATORIES LTD,4,9,12/30/1989,Annual Report
1078,Abbott Laboratories,5,9,12/30/1989,Annual Report
1078,ABBOTT LABORATORIES LTD,6,9,12/30/1988,Annual Report
1078,Abbott Laboratories,7,9,12/30/1988,Annual Report
1078,ABBOTT LABORATORIES LTD,8,9,12/30/1987,Annual Report
1078,Abbott Laboratories,9,9,12/30/1987,Annual Report
1078,ABBOTT LABORATORIES LTD,10,9,12/30/1986,Annual Report
1078,Abbott Laboratories,1,10,12/30/1986,Annual Report
1078,ABBOTT LABORATORIES LTD,2,10,12/30/1985,Annual Report
1078,ABBOTT LABORATORIES LTD,3,10,12/30/1984,Annual Report
1078,ABBOTT LABORATORIES LTD,4,10,12/30/1983,Annual Report
1078,ABBOTT LABORATORIES LTD,5,10,12/30/1982,Annual Report
1078,ABBOTT LABORATORIES LTD,6,10,12/30/1981,Annual Report
1078,ABBOTT LABORATORIES LTD,7,10,12/30/1980,Annual Report
1078,ABBOTT LABORATORIES LTD,8,10,12/30/1979,Annual Report
1107,Ace Hardware Corp.,1,1,12/30/2005,Annual Report
1107,Ace Hardware Corp.,2,1,12/31/2004,Annual Report
1107,Ace Hardware Corp.,3,1,01/02/2004,Annual Report
1107,Ace Hardware Corp.,4,1,12/27/2002,Annual Report
1107,Ace Hardware Corp.,5,1,12/28/2001,Annual Report
1107,Ace Hardware Corp.,6,1,12/29/2000,Annual Report
1107,Ace Hardware Corp.,7,1,01/01/2000,Annual Report
1107,Ace Hardware Corp.,8,1,01/01/1999,Annual Report
1121,"Adams Resources & Energy, Inc.",1,1,12/30/2017,Annual Report
1121,"Adams Resources & Energy, Inc.",2,1,12/30/2009,Annual Report
1121,"Adams Resources & Energy, Inc.",3,1,12/30/2008,Annual Report
1121,"Adams Resources & Energy, Inc.",4,1,12/30/2008,Annual Report
1121,"Adams Resources & Energy, Inc.",5,1,12/30/2006,Annual Report
1121,"Adams Resources & Energy, Inc.",6,1,12/30/2005,Annual Report
1121,"Adams Resources & Energy, Inc.",7,1,12/30/2004,Annual Report
1121,"Adams Resources & Energy, Inc.",8,1,12/30/2004,Annual Report
1121,"Adams Resources & Energy, Inc.",9,1,12/30/2003,Annual Report
1121,"Adams Resources & Energy, Inc.",10,1,12/30/2002,Annual Report
1161,Advanced Micro Devices Inc,1,1,12/28/2018,Annual Report
1161,Advanced Micro Devices Inc,2,1,12/29/2017,Annual Report
1161,Advanced Micro Devices Inc,3,1,12/29/2017,Annual Report
1161,Advanced Micro Devices Inc,4,1,12/30/2016,Annual Report
1161,Advanced Micro Devices Inc,5,1,12/30/2016,Annual Report
1161,Advanced Micro Devices Inc,6,1,12/25/2015,Annual Report
1161,Advanced Micro Devices Inc,7,1,12/25/2015,Annual Report
1161,Advanced Micro Devices Inc,8,1,12/26/2014,Annual Report
1161,Advanced Micro Devices Inc,9,1,12/30/2013,Annual Report
1161,Advanced Micro Devices Inc,10,1,12/28/2012,Annual Report
1161,Advanced Micro Devices Inc,1,2,12/30/2011,Annual Report
1161,Advanced Micro Devices Inc,2,2,12/24/2010,Annual Report
1161,Advanced Micro Devices Inc,3,2,12/25/2009,Annual Report
1161,Advanced Micro Devices Inc,4,2,12/26/2008,Annual Report
1161,Advanced Micro Devices Inc,5,2,12/30/2007,Annual Report
1161,Advanced Micro Devices Inc,6,2,12/30/2006,Annual Report
1161,Advanced Micro Devices Inc,7,2,12/24/2005,Annual Report
1161,Advanced Micro Devices Inc,8,2,12/25/2004,Annual Report
1161,Advanced Micro Devices Inc,9,2,12/27/2003,Annual Report
1161,Advanced Micro Devices Inc,10,2,12/30/2002,Annual Report
1161,ADVANCED MICRO DEVICES INC *,1,3,12/30/2002,Annual Report
1161,ADVANCED MICRO DEVICES INC *,2,3,12/30/2001,Annual Report
1161,Advanced Micro Devices Inc,3,3,12/29/2001,Annual Report
1161,Advanced Micro Devices Inc,4,3,12/31/2000,Annual Report
1161,Advanced Micro Devices Inc,5,3,12/30/2000,Annual Report
1161,Advanced Micro Devices Inc,6,3,12/31/1999,Annual Report
1161,ADVANCED MICRO DEVICES INC *,7,3,12/30/1999,Annual Report
1161,Advanced Micro Devices Inc,8,3,12/25/1999,Annual Report
1161,Advanced Micro Devices Inc,9,3,12/31/1998,Annual Report
1161,Advanced Micro Devices Inc,10,3,12/26/1998,Annual Report
1161,Advanced Micro Devices Inc,1,4,12/31/1997,Annual Report
1161,ADVANCED MICRO DEVICES INC *,2,4,12/30/1997,Annual Report
1161,Advanced Micro Devices Inc,3,4,12/27/1997,Annual Report
1161,Advanced Micro Devices Inc,4,4,12/31/1996,Annual Report
1161,ADVANCED MICRO DEVICES INC *,5,4,12/30/1996,Annual Report
1161,Advanced Micro Devices Inc,6,4,12/28/1996,Annual Report
1161,"Advanced Micro Devices, Inc.",7,4,03/26/1983,Annual Report
1161,"Advanced Micro Devices, Inc.",8,4,03/28/1981,Annual Report
1161,"Advanced Micro Devices, Inc.",9,4,03/29/1975,Annual Report
1164,"MCI Worldcom, Inc.",1,1,12/30/1998,Annual Report
1193,Agway Inc.,1,1,06/29/2017,Annual Report
1193,Agway Inc.,2,1,06/29/2002,Annual Report
1193,AGWAY INC *,3,1,12/30/2001,Annual Report
1193,Agway Inc.,4,1,06/29/2001,Annual Report
1193,AGWAY INC *,5,1,12/30/2000,Annual Report
1193,Agway Inc.,6,1,06/23/2000,Annual Report
1193,AGWAY INC *,7,1,12/30/1999,Annual Report
1193,Agway Inc.,8,1,06/29/1999,Annual Report
1193,AGWAY INC *,9,1,12/30/1998,Annual Report
1193,Agway Inc.,10,1,06/29/1998,Annual Report
1193,AGWAY INC *,1,2,12/30/1997,Annual Report
1193,Agway Inc.,2,2,06/29/1997,Annual Report
1193,AGWAY INC *,3,2,12/30/1996,Annual Report
1193,AGWAY INC *,4,2,12/30/1995,Annual Report
1193,Agway Inc.,5,2,06/29/1995,Annual Report
1193,Agway Inc.,6,2,06/29/1994,Annual Report
1193,Agway Inc.,7,2,06/29/1993,Annual Report
1193,Agway Inc.,8,2,06/29/1992,Annual Report
1193,Agway Inc.,9,2,06/29/1988,Annual Report
1193,Agway Inc.,10,2,06/29/1987,Annual Report
1193,Agway Inc.,1,3,06/29/1986,Annual Report
1194,Ahmanson (H.F.) & Co.,1,1,12/30/1995,Annual Report
1194,Ahmanson (H.F.) & Co.,2,1,12/30/1994,Annual Report
1194,Ahmanson (H.F.) & Co.,3,1,12/30/1986,Annual Report
1209,Air Products & Chemicals Inc,1,1,09/29/2019,Annual Report
1209,Air Products & Chemicals Inc,2,1,09/29/2016,Annual Report
1209,Air Products & Chemicals Inc,3,1,09/29/2010,Annual Report
1209,Air Products & Chemicals Inc,4,1,09/29/2008,Annual Report
1209,Air Products & Chemicals Inc,5,1,09/29/2007,Annual Report
1209,Air Products & Chemicals Inc,6,1,09/29/2006,Annual Report
1209,Air Products & Chemicals Inc,7,1,09/29/2005,Annual Report
1209,Air Products & Chemicals Inc,8,1,09/29/2005,Annual Report
1209,Air Products & Chemicals Inc,9,1,09/29/2004,Annual Report
1209,Air Products & Chemicals Inc,10,1,09/29/2004,Annual Report
1209,Air Products & Chemicals Inc,1,2,09/29/2003,Annual Report
1209,Air Products & Chemicals Inc,2,2,09/29/2003,Annual Report
1209,Air Products & Chemicals Inc,3,2,09/29/2002,Annual Report
1209,Air Products & Chemicals Inc,4,2,09/29/2002,Annual Report
1209,Air Products & Chemicals Inc,5,2,09/29/2001,Annual Report
1209,Air Products & Chemicals Inc,6,2,09/29/2000,Annual Report
1209,Air Products & Chemicals Inc,7,2,09/29/1999,Annual Report
1209,Air Products & Chemicals Inc,8,2,09/29/1998,Annual Report
1209,Air Products & Chemicals Inc,9,2,09/29/1997,Annual Report
1209,"Air Products & Chemicals, Inc.",10,2,09/29/1996,Annual Report
1209,Air Products & Chemicals Inc,1,3,09/29/1996,Annual Report
1209,Air Products & Chemicals Inc,2,3,09/29/1995,Annual Report
1209,Air Products & Chemicals Inc,3,3,09/29/1994,Annual Report
1209,Air Products & Chemicals Inc,4,3,09/29/1993,Annual Report
1209,"Air Products & Chemicals, Inc.",5,3,09/29/1992,Annual Report
1209,Air Products & Chemicals Inc,6,3,09/29/1992,Annual Report
1209,"Air Products & Chemicals, Inc.",7,3,09/29/1991,Annual Report
1209,"Air Products & Chemicals, Inc.",8,3,09/29/1990,Annual Report
1209,Air Products & Chemicals Inc,9,3,09/29/1990,Annual Report
1209,Air Products & Chemicals Inc,10,3,09/29/1988,Annual Report
1209,"Air Products & Chemicals, Inc.",1,4,09/29/1987,Annual Report
1209,Air Products & Chemicals Inc,2,4,09/29/1987,Annual Report
1209,"Air Products & Chemicals, Inc.",3,4,09/29/1986,Annual Report
1209,"Air Products & Chemicals, Inc.",4,4,09/29/1985,Annual Report
1209,Air Products & Chemicals Inc.,5,4,12/30/1984,Annual Report
1209,Air Products & Chemicals Inc.,6,4,12/30/1982,Annual Report
1209,Air Products & Chemicals Inc.,7,4,12/30/1981,Annual Report
1209,Air Products & Chemicals Inc.,8,4,12/30/1980,Annual Report
1209,Air Products & Chemicals Inc.,9,4,12/30/1979,Annual Report
1209,Air Products & Chemicals Inc.,10,4,12/30/1976,Annual Report
1213,Airborne Inc.,1,1,12/30/2002,Annual Report
1213,Airborne Inc.,2,1,12/30/2001,Annual Report
1213,Airborne Inc.,3,1,12/30/2001,Annual Report
1213,"Airborne, Inc.",4,1,12/30/2000,Annual Report
1213,Airborne Inc.,5,1,12/30/2000,Annual Report
1213,"Airborne, Inc.",6,1,12/30/1999,Annual Report
1213,"Airborne, Inc.",7,1,12/30/1998,Annual Report
1213,"Airborne, Inc.",8,1,12/30/1997,Annual Report
1213,"Airborne, Inc.",9,1,12/30/1996,Annual Report
1230,"Alaska Air Group, Inc.",1,1,12/30/2011,Annual Report
1230,"Alaska Air Group, Inc.",2,1,12/30/2009,Annual Report
1230,"Alaska Air Group, Inc.",3,1,12/30/2007,Annual Report
1230,"Alaska Air Group, Inc.",4,1,12/30/2000,Annual Report
1230,"Alaska Air Group, Inc.",5,1,12/30/1999,Annual Report
1230,"Alaska Air Group, Inc.",6,1,12/30/1998,Annual Report
1230,"Alaska Air Group, Inc.",7,1,12/30/1996,Annual Report
1230,"Alaska Air Group, Inc.",8,1,12/30/1995,Annual Report
1240,Albertson's Inc.,1,1,12/30/2004,Annual Report
1240,Albertson's Inc.,2,1,12/30/2003,Annual Report
1240,Albertson's Inc.,3,1,12/30/2003,Annual Report
1240,New Albertson's Inc,4,1,01/29/2003,Annual Report
1240,New Albertson's Inc,5,1,01/29/2003,Annual Report
1240,ALBERTSON'S INC *,6,1,12/30/2002,Annual Report
1240,New Albertson's Inc,7,1,01/30/2002,Annual Report
1240,New Albertson's Inc,8,1,01/30/2002,Annual Report
1240,ALBERTSON'S INC *,9,1,12/30/2001,Annual Report
1240,New Albertson's Inc,10,1,01/31/2001,Annual Report
1240,ALBERTSON'S INC *,1,2,12/30/2000,Annual Report
1240,New Albertson's Inc,2,2,02/02/2000,Annual Report
1240,New Albertson's Inc,3,2,01/27/1999,Annual Report
1240,New Albertson's Inc,4,2,01/28/1998,Annual Report
1240,New Albertson's Inc,5,2,01/29/1997,Annual Report
1240,Albertson's Inc.,6,2,12/30/1984,Annual Report
1246,"Ikon Office Solutions, Inc.",1,1,09/29/2006,Annual Report
1246,IKON OFFICE SOLUTIONS INC *,2,1,12/30/2002,Annual Report
1246,"Ikon Office Solutions, Inc.",3,1,09/29/2001,Annual Report
1246,IKON OFFICE SOLUTIONS INC *,4,1,12/30/2000,Annual Report
1246,"Ikon Office Solutions, Inc.",5,1,09/29/2000,Annual Report
1246,IKON OFFICE SOLUTIONS INC *,6,1,12/30/1999,Annual Report
1246,"Ikon Office Solutions, Inc.",7,1,09/29/1999,Annual Report
1246,IKON OFFICE SOLUTIONS INC *,8,1,12/30/1998,Annual Report
1246,"Ikon Office Solutions, Inc.",9,1,09/29/1998,Annual Report
1246,"Ikon Office Solutions, Inc.",10,1,09/29/1997,Annual Report
1246,"Ikon Office Solutions, Inc.",1,2,09/29/1995,Annual Report
1246,"Ikon Office Solutions, Inc.",2,2,09/29/1994,Annual Report
1246,"Ikon Office Solutions, Inc.",3,2,09/29/1993,Annual Report
1246,"Ikon Office Solutions, Inc.",4,2,09/29/1992,Annual Report
1246,"Ikon Office Solutions, Inc.",5,2,09/29/1991,Annual Report
1246,"Ikon Office Solutions, Inc. *",6,2,09/29/1990,Annual Report
1246,"Ikon Office Solutions, Inc. *",7,2,09/29/1989,Annual Report
1246,"Ikon Office Solutions, Inc.",8,2,09/29/1988,Annual Report
1246,"Ikon Office Solutions, Inc.",9,2,09/29/1987,Annual Report
1246,"Ikon Office Solutions, Inc.",10,2,09/29/1986,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),1,1,12/30/2021,Annual Report
1297,Camphor & Allied Products Ltd,2,1,03/30/2021,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),3,1,12/30/2020,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),4,1,06/29/2020,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),5,1,12/30/2019,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),6,1,06/29/2019,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),7,1,12/30/2018,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),8,1,06/29/2018,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),9,1,12/30/2017,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),10,1,06/29/2017,Annual Report
1297,Camphor & Allied Products Ltd,1,2,03/30/2017,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),2,2,12/30/2016,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),3,2,06/29/2016,Annual Report
1297,Camphor & Allied Products Ltd,4,2,03/30/2016,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),5,2,12/30/2015,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),6,2,06/29/2015,Annual Report
1297,Camphor & Allied Products Ltd,7,2,03/30/2015,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),8,2,12/30/2014,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),9,2,06/29/2014,Annual Report
1297,Camphor & Allied Products Ltd,10,2,03/30/2014,Annual Report
1297,Chemical & Allied Products Plc (Nigeria),1,3,12/30/2013,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),2,3,06/29/2013,Annual Report
1297,Camphor & Allied Products Ltd,3,3,03/30/2013,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),4,3,06/29/2012,Annual Report
1297,Camphor & Allied Products Ltd,5,3,03/30/2012,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),6,3,06/29/2011,Annual Report
1297,Camphor & Allied Products Ltd,7,3,03/30/2011,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),8,3,06/29/2010,Annual Report
1297,Camphor & Allied Products Ltd,9,3,03/30/2010,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),10,3,06/29/2009,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),1,4,06/29/2008,Annual Report
1297,Camphor & Allied Products Ltd,2,4,03/30/2008,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),3,4,06/29/2007,Annual Report
1297,Camphor & Allied Products Ltd,4,4,03/30/2007,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),5,4,06/29/2006,Annual Report
1297,Camphor & Allied Products Ltd,6,4,03/30/2006,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),7,4,06/29/2005,Annual Report
1297,Camphor & Allied Products Ltd,8,4,03/30/2005,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),9,4,06/29/2004,Annual Report
1297,Camphor & Allied Products Ltd,10,4,03/30/2004,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),1,5,06/29/2003,Annual Report
1297,Camphor & Allied Products Ltd,2,5,03/30/2003,Annual Report
1297,Camphor & Allied Products Ltd,3,5,03/30/2002,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),4,5,06/29/2001,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),5,5,06/29/2000,Annual Report
1297,Camphor & Allied Products Ltd,6,5,03/30/2000,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),7,5,06/29/1999,Annual Report
1297,Camphor & Allied Products Ltd,8,5,03/30/1999,Annual Report
1297,Crescent Steel & Allied Products Ltd. (Pakistan),9,5,06/29/1998,Annual Report
1297,Camphor & Allied Products Ltd,10,5,03/30/1997,Annual Report
1300,Honeywell International Inc,1,1,12/30/2020,Annual Report
1300,Honeywell International Inc,2,1,12/30/2019,Annual Report
1300,Honeywell International Inc,3,1,12/30/2018,Annual Report
1300,Honeywell International Inc,4,1,12/30/2017,Annual Report
1300,Honeywell International Inc,5,1,12/30/2016,Annual Report
1300,Honeywell International Inc,6,1,12/30/2015,Annual Report
1300,Honeywell International Inc,7,1,12/30/2014,Annual Report
1300,Honeywell International Inc,8,1,12/30/2013,Annual Report
1300,Honeywell International Inc,9,1,12/30/2012,Annual Report
1300,Honeywell International Inc,10,1,12/30/2011,Annual Report
1300,Honeywell International Inc,1,2,12/30/2010,Annual Report
1300,Honeywell International Inc,2,2,12/30/2009,Annual Report
1300,Honeywell International Inc,3,2,12/30/2008,Annual Report
1300,Honeywell International Inc,4,2,12/30/2007,Annual Report
1300,Honeywell International Inc,5,2,12/30/2006,Annual Report
1300,Honeywell International Inc,6,2,12/30/2005,Annual Report
1300,Honeywell International Inc,7,2,12/30/2004,Annual Report
1300,Honeywell International Inc,8,2,12/30/2003,Annual Report
1300,Honeywell International Inc,9,2,12/30/2003,Annual Report
1300,Honeywell International Inc,10,2,12/30/2002,Annual Report
1300,HONEYWELL INTERNATIONAL INC *,1,3,12/30/2002,Annual Report
1300,Honeywell International Inc.,2,3,12/30/2002,Annual Report
1300,Honeywell International Inc,3,3,12/30/2002,Annual Report
1300,Honeywell International Inc,4,3,12/30/2001,Annual Report
1300,Honeywell International Inc,5,3,12/30/2001,Annual Report
1300,Honeywell International Inc,6,3,12/31/2000,Annual Report
1300,HONEYWELL INTERNATIONAL INC *,7,3,12/30/2000,Annual Report
1300,Honeywell International Inc,8,3,12/31/1999,Annual Report
1300,Honeywell International Inc,9,3,12/30/1999,Annual Report
1300,HONEYWELL INTERNATIONAL INC *,10,3,12/30/1999,Annual Report
1300,Honeywell International Inc,1,4,12/31/1998,Annual Report
1300,Honeywell International Inc,2,4,12/30/1998,Annual Report
1300,Honeywell International Inc,3,4,12/31/1997,Annual Report
1300,Honeywell International Inc,4,4,12/30/1997,Annual Report
1300,HONEYWELL INTERNATIONAL INC *,5,4,12/30/1997,Annual Report
1300,HONEYWELL INTERNATIONAL INC *,6,4,12/30/1996,Annual Report
1300,HONEYWELL INTERNATIONAL INC *,7,4,12/30/1995,Annual Report
1308,Allis-Chalmers Energy Inc,1,1,12/30/2009,Annual Report
1308,Allis-Chalmers Energy Inc,2,1,12/30/2008,Annual Report
1308,Allis-Chalmers Energy Inc,3,1,12/30/1984,Annual Report
1318,Alltel Corp.,1,1,12/30/2002,Annual Report
1318,ALLTEL Corp.,2,1,12/30/2001,Annual Report
1318,Alltel Corp.,3,1,12/30/2001,Annual Report
1318,ALLTEL CORP *,4,1,12/30/2001,Annual Report
1318,ALLTEL Corp.,5,1,12/30/2000,Annual Report
1318,ALLTEL Corp.,6,1,12/30/1999,Annual Report
1318,ALLTEL CORP *,7,1,12/30/1999,Annual Report
1318,ALLTEL Corp.,8,1,12/30/1998,Annual Report
1318,Alltel Corp.,9,1,12/30/1998,Annual Report
1318,ALLTEL CORP *,10,1,12/30/1998,Annual Report
1318,ALLTEL Corp.,1,2,12/30/1997,Annual Report
1318,ALLTEL CORP *,2,2,12/30/1997,Annual Report
1318,ALLTEL Corp.,3,2,12/30/1997,Annual Report
1318,Alltel Corp.,4,2,12/30/1995,Annual Report
1318,Alltel Corp.,5,2,12/30/1994,Annual Report
1318,Alltel Corp.,6,2,12/30/1990,Annual Report
1318,Alltel Corp.,7,2,12/30/1990,Annual Report
1318,Alltel Corp.,8,2,12/30/1988,Annual Report
1318,Alltel Corp.,9,2,12/30/1987,Annual Report
1318,Alltel Corp.,10,2,12/30/1986,Annual Report
1318,Alltel Corp.,1,3,12/30/1985,Annual Report
1356,Alcoa Inc.,1,1,12/30/2014,Annual Report
1356,Alcoa Inc.,2,1,12/30/2009,Annual Report
1356,Alcoa Inc.,3,1,12/30/2008,Annual Report
1356,Alcoa Inc.,4,1,12/30/2007,Annual Report
1356,Alcoa Inc.,5,1,12/30/2006,Annual Report
1356,Alcoa Inc.,6,1,12/30/2006,Annual Report
1356,ALCOA INC (ALUMINIUM CO OF AMERICA) *,7,1,12/30/2002,Annual Report
